,month,month_name,year,total_violent_count,total_gun_poss_count,total_violent_arrests,total_gun_poss_arrests,vi_ar,gp_ar,violent_count_yoy_change,violent_count_yoy_pct,gun_poss_count_yoy_change,gun_poss_count_yoy_pct,vi_ar_yoy_change,gp_ar_yoy_change
111,4,Apr,2023,1447,409,197,484,13.61,118.34,245.0,20.382695507487526,-51.0,-11.086956521739133,-0.030000000000001137,0.5100000000000051
123,4,Apr,2024,1404,374,188,479,13.39,128.07,-43.0,-2.9716655148583238,-35.0,-8.557457212713937,-0.21999999999999886,9.72999999999999
135,4,Apr,2025,1060,372,172,469,16.23,126.08,-344.0,-24.501424501424506,-2.0,-0.5347593582887722,2.84,-1.9899999999999949
4,5,May,2014,1461,266,321,383,21.97,143.98,,,,,,
16,5,May,2015,1373,228,306,328,22.29,143.86,-88.0,-6.0232717316906275,-38.0,-14.28571428571429,0.3200000000000003,-0.11999999999997613
28,5,May,2016,1756,258,286,335,16.29,129.84,383.0,27.895120174799715,30.0,13.157894736842103,-6.0,-14.02000000000001
40,5,May,2017,1676,349,253,449,15.1,128.65,-80.0,-4.555808656036442,91.0,35.27131782945736,-1.1899999999999995,-1.1899999999999977
52,5,May,2018,1606,398,252,522,15.69,131.16,-70.0,-4.17661097852029,49.0,14.04011461318051,0.5899999999999999,2.509999999999991
64,5,May,2019,1368,468,256,572,18.71,122.22,-238.0,-14.819427148194276,70.0,17.587939698492463,3.0200000000000014,-8.939999999999998
76,5,May,2020,1252,536,193,618,15.42,115.3,-116.0,-8.479532163742686,68.0,14.529914529914523,-3.290000000000001,-6.920000000000002
88,5,May,2021,1215,587,141,661,11.6,112.61,-37.0,-2.95527156549521,51.0,9.51492537313432,-3.8200000000000003,-2.6899999999999977
100,5,May,2022,1436,669,193,782,13.44,116.89,221.0,18.189300411522623,82.0,13.969335604770027,1.8399999999999999,4.280000000000001
112,5,May,2023,1569,497,201,587,12.81,118.11,133.0,9.261838440111415,-172.0,-25.710014947683113,-0.629999999999999,1.2199999999999989
124,5,May,2024,1532,413,214,495,13.97,119.85,-37.0,-2.358189929891652,-84.0,-16.901408450704224,1.1600000000000001,1.7399999999999949
136,5,May,2025,1211,423,152,487,12.55,115.13,-321.0,-20.953002610966053,10.0,2.421307506053272,-1.42,-4.719999999999999
5,6,Jun,2014,1496,264,317,341,21.19,129.17,,,,,,
17,6,Jun,2015,1382,246,253,321,18.31,130.49,-114.0,-7.62032085561497,-18.0,-6.818181818181824,-2.8800000000000026,1.3200000000000216
29,6,Jun,2016,1677,263,286,358,17.05,136.12,295.0,21.34587554269176,17.0,6.910569105691056,-1.259999999999998,5.6299999999999955
41,6,Jun,2017,1731,367,263,436,15.19,118.8,54.0,3.220035778175312,104.0,39.54372623574145,-1.8600000000000012,-17.320000000000007
53,6,Jun,2018,1615,396,233,509,14.43,128.54,-116.0,-6.701328711727328,29.0,7.901907356948223,-0.7599999999999998,9.739999999999995
65,6,Jun,2019,1474,421,235,542,15.94,128.74,-141.0,-8.730650154798758,25.0,6.313131313131315,1.5099999999999998,0.20000000000001705
77,6,Jun,2020,1329,509,189,587,14.22,115.32,-145.0,-9.837177747625514,88.0,20.902612826603328,-1.7199999999999989,-13.420000000000016
89,6,Jun,2021,1369,630,159,691,11.61,109.68,40.0,3.009781790820165,121.0,23.772102161100193,-2.610000000000001,-5.639999999999986
101,6,Jun,2022,1526,609,175,695,11.47,114.12,157.0,11.468224981738494,-21.0,-3.3333333333333326,-0.1399999999999988,4.439999999999998
113,6,Jun,2023,1581,491,188,555,11.89,113.03,55.0,3.6041939711664472,-118.0,-19.376026272577995,0.41999999999999993,-1.0900000000000034
125,6,Jun,2024,1663,465,206,536,12.39,115.27,82.0,5.186590765338384,-26.0,-5.295315682281054,0.5,2.239999999999995
137,6,Jun,2025,1310,402,159,466,12.14,115.92,-353.0,-21.226698737221884,-63.0,-13.548387096774196,-0.25,0.6500000000000057
6,7,Jul,2014,1538,283,316,365,20.55,128.98,,,,,,
18,7,Jul,2015,1582,278,333,396,21.05,142.45,44.0,2.860858257477239,-5.0,-1.7667844522968212,0.5,13.469999999999999
30,7,Jul,2016,1910,234,297,331,15.55,141.45,328.0,20.733249051833113,-44.0,-15.827338129496404,-5.5,-1.0
42,7,Jul,2017,1796,434,280,525,15.59,120.97,-114.0,-5.96858638743456,200.0,85.47008547008548,0.03999999999999915,-20.47999999999999
54,7,Jul,2018,1694,407,247,477,14.58,117.2,-102.0,-5.679287305122493,-27.0,-6.2211981566820285,-1.0099999999999998,-3.769999999999996
66,7,Jul,2019,1532,509,260,638,16.97,125.34,-162.0,-9.563164108618649,102.0,25.06142506142506,2.389999999999999,8.14
78,7,Jul,2020,1510,539,216,618,14.3,114.66,-22.0,-1.436031331592691,30.0,5.893909626719052,-2.669999999999998,-10.680000000000007
90,7,Jul,2021,1538,516,158,584,10.27,113.18,28.0,1.8543046357615944,-23.0,-4.2671614100185495,-4.030000000000001,-1.4799999999999898
102,7,Jul,2022,1530,575,184,651,12.03,113.22,-8.0,-0.5201560468140465,59.0,11.43410852713178,1.7599999999999998,0.03999999999999204
114,7,Jul,2023,1787,591,225,666,12.59,112.69,257.0,16.79738562091504,16.0,2.7826086956521667,0.5600000000000005,-0.5300000000000011
126,7,Jul,2024,1722,597,220,668,12.78,111.89,-65.0,-3.637381085618352,6.0,1.0152284263959421,0.1899999999999995,-0.7999999999999972
138,7,Jul,2025,547,252,74,278,13.53,110.32,-1175.0,-68.23461091753775,-345.0,-57.78894472361809,0.75,-1.5700000000000074
7,8,Aug,2014,1512,207,306,295,20.24,142.51,,,,,,
19,8,Aug,2015,1568,252,272,331,17.35,131.35,56.0,3.703703703703698,45.0,21.739130434782616,-2.889999999999997,-11.159999999999997
