,year-month,year,total_violent_count,total_gun_poss_count,total_violent_arrests,total_gun_poss_arrests,vi_ar,gp_ar
116,2023-09,2023,1910,433,203,506,10.63,116.86
117,2023-10,2023,1944,397,185,500,9.52,125.94
118,2023-11,2023,1706,395,173,457,10.14,115.7
119,2023-12,2023,1655,299,184,390,11.12,130.43
120,2024-01,2024,1333,412,193,513,14.48,124.51
121,2024-02,2024,1279,394,166,489,12.98,124.11
122,2024-03,2024,1442,407,182,499,12.62,122.6
123,2024-04,2024,1404,374,188,479,13.39,128.07
124,2024-05,2024,1532,413,213,494,13.9,119.61
125,2024-06,2024,1663,465,207,538,12.45,115.7
126,2024-07,2024,1721,597,219,668,12.73,111.89
127,2024-08,2024,1564,467,186,538,11.89,115.2
128,2024-09,2024,1556,468,189,553,12.15,118.16
129,2024-10,2024,1561,401,207,493,13.26,122.94
130,2024-11,2024,1363,322,180,429,13.21,133.23
131,2024-12,2024,1286,374,170,489,13.22,130.75
132,2025-01,2025,1062,368,164,456,15.44,123.91
133,2025-02,2025,855,345,144,450,16.84,130.43
134,2025-03,2025,1021,441,171,570,16.75,129.25
135,2025-04,2025,1061,372,170,468,16.02,125.81
136,2025-05,2025,1216,424,144,472,11.84,111.32
137,2025-06,2025,691,214,72,229,10.42,107.01
