,year-month,year,total_violent_count,total_gun_poss_count,total_violent_arrests,total_gun_poss_arrests,vi_ar,gp_ar
26,2016-03,2016,1438,206,249,291,0.17315716272600834,1.412621359223301
27,2016-04,2016,1392,232,240,324,0.1724137931034483,1.396551724137931
28,2016-05,2016,1756,258,286,335,0.16287015945330297,1.2984496124031009
29,2016-06,2016,1677,263,286,358,0.17054263565891473,1.361216730038023
30,2016-07,2016,1910,234,297,331,0.15549738219895287,1.4145299145299146
31,2016-08,2016,2034,238,265,306,0.1302851524090462,1.2857142857142858
32,2016-09,2016,1756,266,255,315,0.14521640091116172,1.1842105263157894
33,2016-10,2016,1919,232,248,284,0.12923397602918185,1.2241379310344827
34,2016-11,2016,1836,239,236,304,0.12854030501089325,1.2719665271966527
35,2016-12,2016,1635,229,189,313,0.11559633027522936,1.3668122270742358
36,2017-01,2017,1702,278,192,366,0.1128084606345476,1.316546762589928
37,2017-02,2017,1319,292,204,382,0.15466262319939347,1.3082191780821917
38,2017-03,2017,1376,265,208,349,0.1511627906976744,1.3169811320754716
39,2017-04,2017,1530,321,249,425,0.1627450980392157,1.32398753894081
40,2017-05,2017,1676,349,252,449,0.15035799522673032,1.2865329512893984
41,2017-06,2017,1731,367,262,436,0.15135759676487578,1.1880108991825613
42,2017-07,2017,1796,434,280,525,0.155902004454343,1.2096774193548387
43,2017-08,2017,1893,379,274,468,0.14474379292128897,1.2348284960422165
44,2017-09,2017,1756,356,271,428,0.15432801822323464,1.202247191011236
45,2017-10,2017,1823,297,251,390,0.13768513439385627,1.3131313131313131
46,2017-11,2017,1731,268,202,352,0.11669555170421722,1.3134328358208955
47,2017-12,2017,1614,300,184,385,0.11400247831474597,1.2833333333333334
48,2018-01,2018,1476,336,237,428,0.16056910569105692,1.2738095238095237
49,2018-02,2018,1161,230,184,305,0.15848406546080965,1.326086956521739
50,2018-03,2018,1391,299,213,395,0.1531272465851905,1.3210702341137124
51,2018-04,2018,1320,310,207,398,0.15681818181818183,1.2838709677419355
52,2018-05,2018,1606,398,252,522,0.1569115815691158,1.3115577889447236
53,2018-06,2018,1615,396,233,509,0.14427244582043344,1.2853535353535352
54,2018-07,2018,1694,407,247,477,0.14580873671782763,1.171990171990172
55,2018-08,2018,1687,397,274,494,0.16241849436870184,1.2443324937027709
56,2018-09,2018,1485,344,216,424,0.14545454545454545,1.2325581395348837
57,2018-10,2018,1538,325,225,403,0.14629388816644995,1.24
58,2018-11,2018,1381,304,215,380,0.1556842867487328,1.25
59,2018-12,2018,1437,333,193,435,0.13430758524704245,1.3063063063063063
60,2019-01,2019,1242,312,231,433,0.1859903381642512,1.3878205128205128
61,2019-02,2019,984,283,175,376,0.17784552845528456,1.3286219081272084
62,2019-03,2019,1093,364,202,458,0.1848124428179323,1.2582417582417582
63,2019-04,2019,1245,333,236,458,0.1895582329317269,1.3753753753753755
64,2019-05,2019,1368,468,256,572,0.1871345029239766,1.2222222222222223
65,2019-06,2019,1474,421,235,542,0.15943012211668928,1.2874109263657958
66,2019-07,2019,1533,509,261,638,0.17025440313111545,1.2534381139489195
67,2019-08,2019,1453,446,229,572,0.15760495526496904,1.2825112107623318
68,2019-09,2019,1298,388,188,497,0.1448382126348228,1.2809278350515463
69,2019-10,2019,1311,336,218,445,0.16628527841342486,1.3244047619047619
70,2019-11,2019,1206,317,191,424,0.1583747927031509,1.337539432176656
71,2019-12,2019,1287,339,185,446,0.14374514374514374,1.3156342182890854
72,2020-01,2020,1269,340,220,468,0.17336485421591805,1.3764705882352941
73,2020-02,2020,1104,359,203,477,0.1838768115942029,1.3286908077994428
74,2020-03,2020,999,298,178,387,0.1781781781781782,1.2986577181208054
75,2020-04,2020,925,250,133,303,0.1437837837837838,1.212
76,2020-05,2020,1252,536,193,617,0.15415335463258786,1.1511194029850746
77,2020-06,2020,1329,509,189,587,0.14221218961625282,1.1532416502946954
78,2020-07,2020,1510,539,216,618,0.14304635761589404,1.1465677179962894
79,2020-08,2020,1521,631,214,733,0.14069690992767916,1.161648177496038
80,2020-09,2020,1400,510,202,601,0.1442857142857143,1.1784313725490196
81,2020-10,2020,1418,528,158,581,0.11142454160789844,1.1003787878787878
82,2020-11,2020,1305,502,144,567,0.1103448275862069,1.1294820717131475
83,2020-12,2020,1086,509,153,573,0.1408839779005525,1.12573673870334
84,2021-01,2021,1257,467,152,546,0.12092283214001591,1.1691648822269807
85,2021-02,2021,962,342,128,413,0.13305613305613306,1.2076023391812865
86,2021-03,2021,1050,497,123,555,0.11714285714285715,1.1167002012072436
87,2021-04,2021,1116,533,181,608,0.16218637992831542,1.1407129455909943
88,2021-05,2021,1215,587,141,661,0.11604938271604938,1.1260647359454856
89,2021-06,2021,1369,630,159,691,0.11614317019722425,1.096825396825397
90,2021-07,2021,1538,516,158,584,0.10273081924577374,1.1317829457364341
91,2021-08,2021,1450,447,151,496,0.10413793103448275,1.109619686800895
92,2021-09,2021,1584,488,162,537,0.10227272727272728,1.1004098360655739
93,2021-10,2021,1558,429,150,485,0.0962772785622593,1.1305361305361306
94,2021-11,2021,1412,426,150,483,0.10623229461756374,1.1338028169014085
95,2021-12,2021,1513,341,142,410,0.09385327164573695,1.2023460410557185
96,2022-01,2022,1204,310,139,357,0.11544850498338871,1.1516129032258065
97,2022-02,2022,1101,394,141,446,0.12806539509536785,1.131979695431472
98,2022-03,2022,1176,412,131,479,0.11139455782312925,1.162621359223301
99,2022-04,2022,1202,460,164,542,0.13643926788685523,1.1782608695652175
100,2022-05,2022,1436,669,192,782,0.13370473537604458,1.1689088191330343
101,2022-06,2022,1526,609,175,695,0.11467889908256881,1.1412151067323482
102,2022-07,2022,1530,575,183,650,0.11960784313725491,1.1304347826086956
103,2022-08,2022,1566,529,209,585,0.1334610472541507,1.10586011342155
104,2022-09,2022,1600,518,171,603,0.106875,1.164092664092664
105,2022-10,2022,1682,446,157,501,0.09334126040428062,1.1233183856502242
106,2022-11,2022,1487,333,151,409,0.101546738399462,1.2282282282282282
107,2022-12,2022,1541,331,168,405,0.109020116807268,1.2235649546827794
108,2023-01,2023,1501,458,165,556,0.10992671552298468,1.2139737991266375
109,2023-02,2023,1083,427,139,479,0.1283471837488458,1.1217798594847774
110,2023-03,2023,1312,418,130,472,0.09908536585365854,1.1291866028708133
111,2023-04,2023,1447,409,197,484,0.13614374568071874,1.1833740831295843
112,2023-05,2023,1569,497,199,587,0.1268323773103888,1.1810865191146882
113,2023-06,2023,1581,491,187,555,0.11827956989247312,1.1303462321792261
114,2023-07,2023,1786,591,225,666,0.125979843225084,1.1269035532994924
115,2023-08,2023,2002,508,195,588,0.09740259740259741,1.1574803149606299
116,2023-09,2023,1910,433,203,506,0.10628272251308901,1.1685912240184757
117,2023-10,2023,1944,397,185,501,0.09516460905349794,1.2619647355163728
118,2023-11,2023,1705,395,171,458,0.10029325513196481,1.159493670886076
119,2023-12,2023,1655,299,183,390,0.11057401812688822,1.3043478260869565
120,2024-01,2024,1333,412,192,512,0.14403600900225055,1.2427184466019416
121,2024-02,2024,1279,394,166,489,0.12978889757623144,1.2411167512690355
122,2024-03,2024,1442,407,182,499,0.1262135922330097,1.2260442260442261
123,2024-04,2024,1404,374,185,479,0.13176638176638178,1.2807486631016043
124,2024-05,2024,1533,413,213,494,0.13894324853228962,1.1961259079903148
125,2024-06,2024,1663,465,206,537,0.1238725195429946,1.1548387096774193
126,2024-07,2024,1723,597,218,668,0.126523505513639,1.11892797319933
127,2024-08,2024,1563,467,184,538,0.11772232885476648,1.15203426124197
128,2024-09,2024,1556,468,188,553,0.12082262210796915,1.1816239316239316
129,2024-10,2024,1562,401,207,493,0.13252240717029448,1.229426433915212
130,2024-11,2024,1362,322,178,428,0.13069016152716592,1.329192546583851
131,2024-12,2024,1286,374,169,488,0.13141524105754276,1.304812834224599
132,2025-01,2025,1062,368,164,457,0.1544256120527307,1.2418478260869565
133,2025-02,2025,855,345,142,449,0.16608187134502925,1.3014492753623188
134,2025-03,2025,1022,441,162,554,0.15851272015655576,1.256235827664399
135,2025-04,2025,1060,370,162,451,0.15283018867924528,1.218918918918919
136,2025-05,2025,827,262,70,275,0.08464328899637243,1.049618320610687
