,year-month,year,total_violent_count,total_gun_poss_count,total_crimes,total_violent_arrests,total_gun_poss_arrests,total_arrests
125,2024-06,2024,1663,465,23117,206,537,2912
126,2024-07,2024,1723,597,24038,218,668,3394
127,2024-08,2024,1563,467,22905,184,538,3003
128,2024-09,2024,1556,468,22880,188,553,3010
129,2024-10,2024,1562,401,22391,207,492,2954
130,2024-11,2024,1362,322,19642,177,428,2880
131,2024-12,2024,1286,374,19472,169,488,2900
132,2025-01,2025,1062,368,18293,164,457,3282
133,2025-02,2025,855,345,16347,141,449,3032
134,2025-03,2025,1022,441,19478,162,555,3344
135,2025-04,2025,1060,370,19184,161,451,3035
136,2025-05,2025,754,243,11850,65,257,1686
